"ActivityID" "SubjectID" "TrainMean" "TrainSD" "TestMean" "TestSD" "Activity"
2 27 3084.78431372549 NA NA NA "WALKING_UPSTAIRS"
2 11 3529.55555555556 NA NA NA "WALKING_UPSTAIRS"
2 7 3499 NA NA NA "WALKING_UPSTAIRS"
2 22 3527.71428571429 NA NA NA "WALKING_UPSTAIRS"
2 19 3602.25 NA NA NA "WALKING_UPSTAIRS"
2 30 3655.33846153846 NA NA NA "WALKING_UPSTAIRS"
3 1 3823.44897959184 NA NA NA "WALKING_DOWNSTAIRS"
3 16 4406.1914893617 NA NA NA "WALKING_DOWNSTAIRS"
3 14 4214.53333333333 NA NA NA "WALKING_DOWNSTAIRS"
3 26 3473.6 NA NA NA "WALKING_DOWNSTAIRS"
3 23 4124.59259259259 NA NA NA "WALKING_DOWNSTAIRS"
3 6 4003.10416666667 NA NA NA "WALKING_DOWNSTAIRS"
3 3 4127.79591836735 NA NA NA "WALKING_DOWNSTAIRS"
3 17 4118.67391304348 NA NA NA "WALKING_DOWNSTAIRS"
3 15 3585.28571428571 NA NA NA "WALKING_DOWNSTAIRS"
3 27 4321.38636363636 NA NA NA "WALKING_DOWNSTAIRS"
3 25 4308.70689655172 NA NA NA "WALKING_DOWNSTAIRS"
3 7 3783.65957446808 NA NA NA "WALKING_DOWNSTAIRS"
3 5 4214.82978723404 NA NA NA "WALKING_DOWNSTAIRS"
3 19 4075.4358974359 NA NA NA "WALKING_DOWNSTAIRS"
3 30 3915.61290322581 NA NA NA "WALKING_DOWNSTAIRS"
3 28 4050.5 NA NA NA "WALKING_DOWNSTAIRS"
3 8 3762.76315789474 NA NA NA "WALKING_DOWNSTAIRS"
3 21 3785.77777777778 NA NA NA "WALKING_DOWNSTAIRS"
3 29 4270.47916666667 NA NA NA "WALKING_DOWNSTAIRS"
3 11 3998.45652173913 NA NA NA "WALKING_DOWNSTAIRS"
3 22 3905.38888888889 NA NA NA "WALKING_DOWNSTAIRS"
4 14 3909.85185185185 NA NA NA "SITTING"
4 23 3517.52941176471 NA NA NA "SITTING"
4 3 3211.63461538462 NA NA NA "SITTING"
4 15 3765.52542372881 NA NA NA "SITTING"
4 25 3868.01538461538 NA NA NA "SITTING"
4 5 3657.5 NA NA NA "SITTING"
4 1 3393.91489361702 NA NA NA "SITTING"
4 16 3790.20289855072 NA NA NA "SITTING"
4 28 3667.18055555556 NA NA NA "SITTING"
4 26 3745.97435897436 NA NA NA "SITTING"
4 8 3418.63043478261 NA NA NA "SITTING"
4 6 3535.41818181818 NA NA NA "SITTING"
4 21 3803.36470588235 NA NA NA "SITTING"
4 17 3651.1875 NA NA NA "SITTING"
4 29 3744.21666666667 NA NA NA "SITTING"
4 27 3613.47142857143 NA NA NA "SITTING"
4 11 3559.45283018868 NA NA NA "SITTING"
4 7 3922.58333333333 NA NA NA "SITTING"
4 22 3929.5 NA NA NA "SITTING"
4 19 3449.39726027397 NA NA NA "SITTING"
4 30 3992.04838709677 NA NA NA "SITTING"
5 1 3899.43396226415 NA NA NA "STANDING"
5 16 3782.41025641026 NA NA NA "STANDING"
5 14 3689.43333333333 NA NA NA "STANDING"
5 26 4019.52702702703 NA NA NA "STANDING"
5 23 3688.76470588235 NA NA NA "STANDING"
5 6 3562.0701754386 NA NA NA "STANDING"
5 3 3721.34426229508 NA NA NA "STANDING"
5 17 3517.61538461538 NA NA NA "STANDING"
5 15 3753 NA NA NA "STANDING"
5 27 3808.5625 NA NA NA "STANDING"
5 25 3838.72972972973 NA NA NA "STANDING"
5 7 3982.69811320755 NA NA NA "STANDING"
5 5 3910.14285714286 NA NA NA "STANDING"
5 19 3769.47945205479 NA NA NA "STANDING"
5 30 3678.72881355932 NA NA NA "STANDING"
5 28 3782.25316455696 NA NA NA "STANDING"
5 8 3930.68518518519 NA NA NA "STANDING"
5 21 3733 NA NA NA "STANDING"
5 29 3778.33846153846 NA NA NA "STANDING"
5 11 3759.59574468085 NA NA NA "STANDING"
5 22 3878.49206349206 NA NA NA "STANDING"
6 14 4192.39215686274 NA NA NA "LAYING"
6 23 3904.73611111111 NA NA NA "LAYING"
6 3 3385.22580645161 NA NA NA "LAYING"
6 15 3654.91666666667 NA NA NA "LAYING"
6 25 3298.27397260274 NA NA NA "LAYING"
6 5 3738.84615384615 NA NA NA "LAYING"
6 1 3594.62 NA NA NA "LAYING"
6 16 3724.68571428571 NA NA NA "LAYING"
6 28 3668.8 NA NA NA "LAYING"
6 26 3792.68421052632 NA NA NA "LAYING"
6 8 3385.11111111111 NA NA NA "LAYING"
6 6 3603.14035087719 NA NA NA "LAYING"
6 21 3476.92222222222 NA NA NA "LAYING"
6 17 3506.15492957746 NA NA NA "LAYING"
6 29 4003.84057971014 NA NA NA "LAYING"
6 27 3195.52702702703 NA NA NA "LAYING"
6 11 3811.87719298246 NA NA NA "LAYING"
6 7 3263.59615384615 NA NA NA "LAYING"
6 22 3747.18055555556 NA NA NA "LAYING"
6 19 3222.28915662651 NA NA NA "LAYING"
6 30 4144.25714285714 NA NA NA "LAYING"
